country,ip,port,attempts,times_ms,avg_ms,status
Japan,219.100.37.192,443,3,"[155.248, 157.048, 164.073]",158.790,alive
Japan,219.100.37.196,443,3,"[163.956, 158.414, 163.201]",161.857,alive
Japan,219.100.37.83,443,3,"[163.877, 163.805, 157.864]",161.849,alive
Japan,219.100.37.210,443,3,"[163.501, 166.149, 164.44]",164.697,alive
Japan,219.100.37.89,443,3,"[158.595, 157.842, 160.917]",159.118,alive
Japan,219.100.37.84,443,3,"[163.094, 164.137, 161.286]",162.839,alive
Japan,219.100.37.13,443,3,"[162.776, 164.058, 157.492]",161.442,alive
Japan,219.100.37.181,443,3,"[159.726, 160.51, 159.156]",159.797,alive
Japan,219.100.37.126,443,3,"[157.831, 163.885, 162.897]",161.538,alive
Japan,219.100.37.15,443,3,"[164.796, 164.761, 163.775]",164.444,alive
Japan,219.100.37.117,443,3,"[161.137, 163.697, 163.217]",162.684,alive
United States,72.196.67.191,1448,3,"[67.667, 65.176, 66.266]",66.370,alive
Japan,219.100.37.101,443,3,"[157.435, 165.23, 163.263]",161.976,alive
Japan,219.100.37.59,443,3,"[159.36, 158.046, 154.853]",157.420,alive
Japan,153.228.216.35,1822,3,"[176.704, 175.117, 173.781]",175.201,alive
Japan,124.18.74.5,1789,3,"[171.453, 170.436, 169.474]",170.454,alive
Japan,126.221.31.122,1837,3,"[189.504, 184.263, 193.91]",189.226,alive
Japan,119.243.49.211,1571,3,"[167.59, 168.328, 167.285]",167.734,alive
Japan,182.171.217.169,1911,3,"[168.314, 170.898, 168.682]",169.298,alive
Japan,27.85.1.30,1432,3,"[174.64, 175.392, 177.77]",175.934,alive
Japan,36.2.145.177,1868,3,"[194.896, 205.217, 209.328]",203.147,alive
Japan,59.138.139.69,1242,3,"[164.044, 158.102, 159.188]",160.444,alive
Korea Republic of,123.199.101.140,995,3,"[196.943, 197.085]",197.014,alive
Japan,219.100.37.50,443,3,"[161.9, 163.55, 165.423]",163.624,alive
Japan,92.202.137.19,1840,3,"[158.795, 161.632, 167.319]",162.582,alive
Korea Republic of,180.230.30.211,1701,3,"[193.127, 194.092]",193.609,alive
Japan,110.163.147.10,1194,3,"[170.118, 171.998, 169.368]",170.495,alive
Japan,14.192.117.87,1913,3,"[170.046, 165.555, 164.637]",166.746,alive
Japan,183.91.106.83,1759,3,"[632.687, 482.937, 448.534]",521.386,alive
Korea Republic of,165.246.150.157,995,3,"[223.79, 217.641, 223.191]",221.541,alive
Korea Republic of,220.123.64.32,995,3,"[192.02, 191.172, 192.71]",191.968,alive
Japan,106.179.46.146,1631,3,"[165.118, 171.032, 163.752]",166.634,alive
Korea Republic of,115.40.45.248,995,3,"[195.485, 202.168, 195.96]",197.871,alive
Japan,219.63.112.199,1323,3,"[176.049, 176.008, 176.078]",176.045,alive
Korea Republic of,1.239.79.205,1491,3,"[200.305, 194.49, 193.752]",196.182,alive
Korea Republic of,175.212.171.39,995,3,"[191.486, 186.515, 187.874]",188.625,alive
Russian Federation,92.127.205.31,1313,3,"[171.1, 168.828, 170.359]",170.096,alive
Japan,124.44.109.47,1220,3,"[216.193, 196.883, 206.667]",206.581,alive
Korea Republic of,222.116.83.147,1446,3,"[196.539, 197.989, 193.686]",196.071,alive
Japan,116.82.239.43,1291,3,"[171.08, 177.301, 165.681]",171.354,alive
Japan,118.19.38.206,1636,3,"[179.932, 170.704, 176.611]",175.749,alive
Japan,113.155.2.119,1779,3,"[166.895, 163.501, 170.86]",167.085,alive
Japan,60.99.173.16,1314,3,"[186.429, 186.517, 185.238]",186.061,alive
Korea Republic of,14.92.210.132,1676,3,"[194.909, 203.778, 198.4]",199.029,alive
Russian Federation,95.70.103.192,1525,3,"[218.597, 208.964, 214.022]",213.861,alive
Japan,60.65.162.6,1755,3,"[174.661, 170.356, 175.509]",173.508,alive
Japan,60.71.229.57,1305,3,"[173.743, 255.687, 174.368]",201.266,alive
Korea Republic of,121.143.44.4,1487,3,"[197.032, 190.861, 192.211]",193.368,alive
Japan,133.114.152.31,1622,3,"[163.779, 160.954, 165.935]",163.556,alive
Korea Republic of,39.118.179.30,1461,3,"[188.605, 189.99, 189.111]",189.235,alive
